state_country,activities,budget,destinationType,duration
"Bali, Indonesia","[""Beach"", ""Cultural Tours"", ""Surfing""]",High,"[""Cultural"", ""Adventure""]",2-3 days
"California, USA","[""Wine Tasting"", ""Beach"", ""Theme Parks""]",High,"[""Beach"", ""Relaxation""]",6-8 days
"California, USA","[""Wine Tasting"", ""Beach"", ""Theme Parks"", ""Surfing"", ""Hiking""]",Medium,"[""Adventure"", ""Sports""]",2-3 days
"California, USA","[""Theme Parks"", ""Beach"", ""Wine Tasting"", ""Surfing""]",Low,"[""Nature"", ""Relaxation""]",8-10 days
"Queensland, Australia","[""Beach"", ""Hiking"", ""Wildlife Tours"", ""Snorkeling""]",Medium,"[""Urban"", ""Modern""]",8-10 days
"Tokyo, Japan","[""Temple Visits"", ""Food Tours"", ""Cultural Shows"", ""Shopping""]",Low,"[""Cultural"", ""Adventure""]",8-10 days
"Queensland, Australia","[""Beach"", ""Wildlife Tours"", ""Snorkeling"", ""Hiking"", ""Cooking Classes""]",Medium,"[""Cultural"", ""Historical""]",6-8 days
"California, USA","[""Wine Tasting"", ""Surfing"", ""Beach"", ""Theme Parks""]",High,"[""Historical"", ""Educational""]",4-6 days
"Wyoming, USA","[""Photography"", ""Wildlife Safari"", ""Camping""]",Medium,"[""Beach"", ""Relaxation""]",6-8 days
"Tuscany, Italy","[""Art Museums"", ""Food Tours""]",High,"[""Beach"", ""Relaxation""]",8-10 days
"Bali, Indonesia","[""Temple Visits"", ""Beach"", ""Cultural Tours""]",Medium,"[""Cultural"", ""Food""]",8-10 days
"Hawaii, USA","[""Beach"", ""Snorkeling"", ""Surfing"", ""Volcano Tours""]",Low,"[""Cultural"", ""Adventure""]",6-8 days
"Bali, Indonesia","[""Temple Visits"", ""Beach""]",High,"[""Nature"", ""Photography""]",4-6 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Hiking"", ""Skiing""]",Low,"[""Adventure"", ""Sports""]",2-3 days
"British Columbia, Canada","[""Kayaking"", ""Hiking"", ""Wildlife Tours""]",Low,"[""Adventure"", ""Nature""]",8-10 days
"New York, USA","[""Theater"", ""Shopping"", ""Food Tours"", ""Museums""]",Medium,"[""Urban"", ""Shopping""]",8-10 days
"California, USA","[""Beach"", ""Wine Tasting""]",High,"[""Beach"", ""Relaxation""]",10-14 days
"Hawaii, USA","[""Volcano Tours"", ""Snorkeling"", ""Beach"", ""Surfing""]",Low,"[""Nature"", ""Photography""]",6-8 days
"Colorado, USA","[""Rock Climbing"", ""Skiing"", ""Mountain Biking"", ""Hiking"", ""Beer Tours""]",High,"[""Cultural"", ""Historical""]",2-3 days
"British Columbia, Canada","[""Kayaking"", ""Hiking""]",High,"[""Adventure"", ""Nature""]",8-10 days
"Queensland, Australia","[""Snorkeling"", ""Wildlife Tours""]",Medium,"[""Adventure"", ""Nature""]",2-3 days
"Paris, France","[""Museums"", ""Shopping"", ""Historical Tours"", ""Food Tours""]",Medium,"[""Adventure"", ""Nature""]",6-8 days
"Bali, Indonesia","[""Beach"", ""Cultural Tours"", ""Temple Visits"", ""Surfing""]",High,"[""Cultural"", ""Historical""]",10-14 days
"Bavaria, Germany","[""Historical Tours"", ""Beer Tours""]",Low,"[""Adventure"", ""Nature""]",8-10 days
"British Columbia, Canada","[""Skiing"", ""Kayaking"", ""Wildlife Tours""]",Low,"[""Historical"", ""Educational""]",6-8 days
"Bavaria, Germany","[""Castle Tours"", ""Hiking"", ""Beer Tours"", ""Historical Tours""]",Medium,"[""Cultural"", ""Historical""]",6-8 days
"Tokyo, Japan","[""Cultural Shows"", ""Temple Visits"", ""Food Tours"", ""Shopping""]",High,"[""Adventure"", ""Beach""]",6-8 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Hiking"", ""Photography"", ""Skiing""]",Low,"[""Adventure"", ""Beach""]",10-14 days
"Swiss Alps, Switzerland","[""Photography"", ""Skiing"", ""Hiking"", ""Mountain Tours""]",High,"[""Cultural"", ""Historical""]",10-14 days
"Queensland, Australia","[""Beach"", ""Wildlife Tours""]",High,"[""Cultural"", ""Food""]",6-8 days
"Tokyo, Japan","[""Cultural Shows"", ""Food Tours"", ""Temple Visits""]",Medium,"[""Adventure"", ""Beach""]",2-3 days
"Bangkok, Thailand","[""Cultural Shows"", ""Food Tours""]",Medium,"[""Nature"", ""Relaxation""]",2-3 days
"British Columbia, Canada","[""Skiing"", ""Hiking""]",High,"[""Adventure"", ""Sports""]",2-3 days
"Bali, Indonesia","[""Beach"", ""Cultural Tours""]",Medium,"[""Nature"", ""Photography""]",2-3 days
"Dubai, UAE","[""Shopping"", ""Water Parks"", ""Architecture Tours"", ""Desert Safari"", ""Photography""]",Low,"[""Cultural"", ""Food""]",8-10 days
"Paris, France","[""Historical Tours"", ""Shopping"", ""Food Tours"", ""Museums""]",High,"[""Adventure"", ""Sports""]",2-3 days
"British Columbia, Canada","[""Skiing"", ""Wildlife Tours""]",Low,"[""Cultural"", ""Food""]",8-10 days
"Dubai, UAE","[""Water Parks"", ""Architecture Tours"", ""Desert Safari"", ""Shopping""]",High,"[""Historical"", ""Educational""]",4-6 days
"Wyoming, USA","[""Photography"", ""Hiking""]",Low,"[""Urban"", ""Modern""]",4-6 days
"Dubai, UAE","[""Shopping"", ""Desert Safari"", ""Architecture Tours""]",Low,"[""Adventure"", ""Sports""]",6-8 days
"Colorado, USA","[""Rock Climbing"", ""Mountain Biking"", ""Hiking"", ""Skiing""]",Low,"[""Cultural"", ""Historical""]",4-6 days
"Queensland, Australia","[""Hiking"", ""Wildlife Tours"", ""Snorkeling"", ""Beach"", ""Cultural Shows""]",Medium,"[""Adventure"", ""Sports""]",6-8 days
"Tuscany, Italy","[""Historical Tours"", ""Food Tours"", ""Wine Tasting""]",High,"[""Beach"", ""Relaxation""]",2-3 days
"California, USA","[""Theme Parks"", ""Surfing"", ""Wine Tasting"", ""Beach"", ""Snorkeling""]",Medium,"[""Beach"", ""Relaxation""]",6-8 days
"Wyoming, USA","[""Camping"", ""Wildlife Safari"", ""Hiking"", ""Photography""]",High,"[""Beach"", ""Relaxation""]",8-10 days
"British Columbia, Canada","[""Hiking"", ""Skiing"", ""Wildlife Tours"", ""Kayaking""]",High,"[""Cultural"", ""Historical""]",8-10 days
"Paris, France","[""Shopping"", ""Historical Tours"", ""Museums""]",Medium,"[""Urban"", ""Modern""]",4-6 days
"Wyoming, USA","[""Camping"", ""Hiking""]",Low,"[""Urban"", ""Shopping""]",6-8 days
"New York, USA","[""Theater"", ""Food Tours"", ""Shopping""]",High,"[""Adventure"", ""Beach""]",4-6 days
"Queensland, Australia","[""Wildlife Tours"", ""Snorkeling""]",High,"[""Nature"", ""Photography""]",6-8 days
"California, USA","[""Surfing"", ""Wine Tasting"", ""Theme Parks"", ""Beach""]",Medium,"[""Nature"", ""Relaxation""]",4-6 days
"California, USA","[""Theme Parks"", ""Wine Tasting"", ""Surfing"", ""Beach""]",Medium,"[""Nature"", ""Relaxation""]",8-10 days
"Swiss Alps, Switzerland","[""Photography"", ""Hiking""]",High,"[""Historical"", ""Educational""]",10-14 days
"Bali, Indonesia","[""Temple Visits"", ""Surfing"", ""Beach"", ""Cultural Tours""]",Low,"[""Nature"", ""Photography""]",4-6 days
"Dubai, UAE","[""Desert Safari"", ""Shopping"", ""Water Parks"", ""Architecture Tours""]",Low,"[""Nature"", ""Photography""]",2-3 days
"New York, USA","[""Museums"", ""Shopping"", ""Food Tours"", ""Theater"", ""Cultural Shows""]",Medium,"[""Urban"", ""Shopping""]",10-14 days
"Queensland, Australia","[""Hiking"", ""Beach"", ""Wildlife Tours"", ""Snorkeling""]",Medium,"[""Urban"", ""Shopping""]",6-8 days
"California, USA","[""Beach"", ""Surfing"", ""Theme Parks"", ""Wine Tasting""]",High,"[""Beach"", ""Relaxation""]",6-8 days
"British Columbia, Canada","[""Wildlife Tours"", ""Kayaking"", ""Hiking"", ""Skiing""]",Low,"[""Beach"", ""Relaxation""]",8-10 days
"Swiss Alps, Switzerland","[""Photography"", ""Hiking"", ""Mountain Tours"", ""Skiing""]",Low,"[""Cultural"", ""Historical""]",8-10 days
"Wyoming, USA","[""Wildlife Safari"", ""Photography"", ""Camping""]",Medium,"[""Cultural"", ""Food""]",10-14 days
"Hawaii, USA","[""Beach"", ""Volcano Tours""]",High,"[""Nature"", ""Photography""]",6-8 days
"Hawaii, USA","[""Beach"", ""Surfing"", ""Snorkeling""]",High,"[""Cultural"", ""Food""]",10-14 days
"Paris, France","[""Shopping"", ""Historical Tours""]",Low,"[""Cultural"", ""Food""]",4-6 days
"California, USA","[""Beach"", ""Theme Parks""]",Medium,"[""Adventure"", ""Nature""]",2-3 days
"Tuscany, Italy","[""Wine Tasting"", ""Art Museums"", ""Food Tours"", ""Historical Tours""]",High,"[""Cultural"", ""Adventure""]",2-3 days
"Queensland, Australia","[""Snorkeling"", ""Hiking""]",Low,"[""Adventure"", ""Nature""]",8-10 days
"Hawaii, USA","[""Volcano Tours"", ""Beach"", ""Snorkeling"", ""Surfing""]",High,"[""Adventure"", ""Beach""]",8-10 days
"Colorado, USA","[""Skiing"", ""Rock Climbing"", ""Hiking"", ""Mountain Biking""]",Medium,"[""Cultural"", ""Adventure""]",6-8 days
"British Columbia, Canada","[""Hiking"", ""Wildlife Tours"", ""Skiing"", ""Kayaking""]",High,"[""Urban"", ""Modern""]",4-6 days
"Swiss Alps, Switzerland","[""Hiking"", ""Mountain Tours""]",High,"[""Historical"", ""Educational""]",4-6 days
"Colorado, USA","[""Rock Climbing"", ""Mountain Biking"", ""Hiking"", ""Skiing""]",Low,"[""Nature"", ""Photography""]",6-8 days
"Wyoming, USA","[""Photography"", ""Hiking""]",High,"[""Adventure"", ""Sports""]",10-14 days
"Bali, Indonesia","[""Beach"", ""Surfing"", ""Cultural Tours"", ""Temple Visits""]",Medium,"[""Cultural"", ""Historical""]",8-10 days
"Queensland, Australia","[""Wildlife Tours"", ""Hiking"", ""Snorkeling""]",Low,"[""Nature"", ""Photography""]",10-14 days
"Dubai, UAE","[""Desert Safari"", ""Water Parks"", ""Shopping""]",High,"[""Historical"", ""Educational""]",4-6 days
"Tuscany, Italy","[""Historical Tours"", ""Art Museums"", ""Wine Tasting"", ""Food Tours"", ""Zip Lining""]",High,"[""Cultural"", ""Food""]",8-10 days
"California, USA","[""Theme Parks"", ""Surfing"", ""Wine Tasting"", ""Beach"", ""Art Museums""]",High,"[""Cultural"", ""Food""]",6-8 days
"New York, USA","[""Museums"", ""Shopping""]",Medium,"[""Urban"", ""Shopping""]",2-3 days
"Colorado, USA","[""Hiking"", ""Skiing"", ""Rock Climbing"", ""Mountain Biking""]",High,"[""Historical"", ""Educational""]",10-14 days
"British Columbia, Canada","[""Skiing"", ""Hiking""]",Low,"[""Adventure"", ""Sports""]",6-8 days
"Wyoming, USA","[""Hiking"", ""Camping"", ""Wildlife Safari""]",Low,"[""Cultural"", ""Historical""]",6-8 days
"Colorado, USA","[""Rock Climbing"", ""Hiking"", ""Skiing"", ""Mountain Biking""]",Medium,"[""Urban"", ""Modern""]",2-3 days
"Queensland, Australia","[""Wildlife Tours"", ""Hiking"", ""Snorkeling"", ""Beach""]",Low,"[""Cultural"", ""Adventure""]",10-14 days
"British Columbia, Canada","[""Wildlife Tours"", ""Hiking""]",High,"[""Nature"", ""Relaxation""]",2-3 days
"Bavaria, Germany","[""Hiking"", ""Beer Tours""]",High,"[""Historical"", ""Educational""]",4-6 days
"Bavaria, Germany","[""Castle Tours"", ""Hiking""]",Medium,"[""Beach"", ""Relaxation""]",10-14 days
"Bavaria, Germany","[""Castle Tours"", ""Historical Tours"", ""Hiking"", ""Beer Tours"", ""Wildlife Safari""]",High,"[""Cultural"", ""Food""]",10-14 days
"Swiss Alps, Switzerland","[""Photography"", ""Hiking"", ""Mountain Tours"", ""Skiing""]",Low,"[""Cultural"", ""Adventure""]",8-10 days
"New York, USA","[""Theater"", ""Museums"", ""Shopping"", ""Food Tours"", ""Cooking Classes""]",High,"[""Beach"", ""Relaxation""]",10-14 days
"California, USA","[""Theme Parks"", ""Wine Tasting"", ""Beach"", ""Surfing""]",Medium,"[""Beach"", ""Relaxation""]",10-14 days
"Paris, France","[""Museums"", ""Shopping"", ""Historical Tours"", ""Food Tours"", ""Wine Tasting""]",Medium,"[""Cultural"", ""Food""]",4-6 days
"New York, USA","[""Shopping"", ""Theater""]",Medium,"[""Urban"", ""Modern""]",10-14 days
"Hawaii, USA","[""Beach"", ""Surfing"", ""Volcano Tours""]",Low,"[""Urban"", ""Shopping""]",2-3 days
"Tuscany, Italy","[""Food Tours"", ""Historical Tours"", ""Wine Tasting"", ""Art Museums""]",High,"[""Cultural"", ""Historical""]",6-8 days
"Hawaii, USA","[""Volcano Tours"", ""Beach""]",High,"[""Cultural"", ""Historical""]",8-10 days
"Dubai, UAE","[""Water Parks"", ""Desert Safari"", ""Shopping"", ""Architecture Tours"", ""Cooking Classes""]",Low,"[""Urban"", ""Shopping""]",2-3 days
"Queensland, Australia","[""Beach"", ""Snorkeling"", ""Hiking"", ""Wildlife Tours"", ""Local Festivals""]",Low,"[""Nature"", ""Relaxation""]",4-6 days
"New York, USA","[""Theater"", ""Shopping""]",Low,"[""Urban"", ""Shopping""]",8-10 days
"Bali, Indonesia","[""Beach"", ""Surfing"", ""Cultural Tours""]",High,"[""Adventure"", ""Nature""]",6-8 days
"Hawaii, USA","[""Volcano Tours"", ""Surfing"", ""Snorkeling""]",High,"[""Beach"", ""Relaxation""]",10-14 days
"Colorado, USA","[""Hiking"", ""Mountain Biking"", ""Skiing"", ""Rock Climbing"", ""Cultural Tours""]",Low,"[""Adventure"", ""Nature""]",2-3 days
"California, USA","[""Theme Parks"", ""Beach""]",Low,"[""Cultural"", ""Food""]",10-14 days
"Bali, Indonesia","[""Temple Visits"", ""Beach"", ""Surfing"", ""Cultural Tours""]",Medium,"[""Cultural"", ""Food""]",2-3 days
"Dubai, UAE","[""Shopping"", ""Architecture Tours"", ""Desert Safari"", ""Water Parks"", ""Kayaking""]",Medium,"[""Nature"", ""Photography""]",10-14 days
"Bali, Indonesia","[""Beach"", ""Cultural Tours"", ""Surfing"", ""Temple Visits""]",High,"[""Adventure"", ""Sports""]",4-6 days
"Wyoming, USA","[""Photography"", ""Hiking"", ""Camping"", ""Wildlife Safari"", ""River Rafting""]",Low,"[""Nature"", ""Photography""]",8-10 days
"Bavaria, Germany","[""Beer Tours"", ""Hiking""]",Low,"[""Adventure"", ""Sports""]",6-8 days
"Bangkok, Thailand","[""Cultural Shows"", ""Food Tours""]",Medium,"[""Nature"", ""Photography""]",2-3 days
"British Columbia, Canada","[""Wildlife Tours"", ""Kayaking"", ""Hiking"", ""Skiing""]",Low,"[""Cultural"", ""Adventure""]",10-14 days
"British Columbia, Canada","[""Skiing"", ""Wildlife Tours"", ""Hiking"", ""Kayaking""]",Low,"[""Adventure"", ""Sports""]",8-10 days
"Bavaria, Germany","[""Beer Tours"", ""Castle Tours"", ""Historical Tours""]",Medium,"[""Beach"", ""Relaxation""]",4-6 days
"Bavaria, Germany","[""Castle Tours"", ""Historical Tours""]",High,"[""Historical"", ""Educational""]",4-6 days
"Tokyo, Japan","[""Cultural Shows"", ""Shopping"", ""Food Tours"", ""Temple Visits"", ""Camping""]",Medium,"[""Cultural"", ""Food""]",8-10 days
"Paris, France","[""Museums"", ""Shopping""]",Medium,"[""Cultural"", ""Adventure""]",10-14 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Hiking""]",High,"[""Historical"", ""Educational""]",8-10 days
"California, USA","[""Beach"", ""Wine Tasting"", ""Theme Parks"", ""Surfing""]",Low,"[""Historical"", ""Educational""]",2-3 days
"California, USA","[""Wine Tasting"", ""Beach"", ""Theme Parks""]",Medium,"[""Historical"", ""Educational""]",8-10 days
"Bangkok, Thailand","[""Cultural Shows"", ""Temple Visits""]",High,"[""Beach"", ""Relaxation""]",6-8 days
"Queensland, Australia","[""Snorkeling"", ""Hiking"", ""Beach"", ""Wildlife Tours""]",Low,"[""Nature"", ""Relaxation""]",4-6 days
"Tokyo, Japan","[""Food Tours"", ""Temple Visits"", ""Shopping""]",Medium,"[""Urban"", ""Shopping""]",6-8 days
"California, USA","[""Wine Tasting"", ""Beach"", ""Theme Parks""]",Medium,"[""Adventure"", ""Nature""]",10-14 days
"Paris, France","[""Shopping"", ""Museums""]",Medium,"[""Historical"", ""Educational""]",6-8 days
"Dubai, UAE","[""Water Parks"", ""Desert Safari""]",Low,"[""Cultural"", ""Historical""]",10-14 days
"California, USA","[""Beach"", ""Surfing"", ""Theme Parks"", ""Wine Tasting""]",Low,"[""Urban"", ""Modern""]",8-10 days
"Colorado, USA","[""Skiing"", ""Hiking"", ""Rock Climbing"", ""Mountain Biking"", ""Temple Visits""]",High,"[""Adventure"", ""Beach""]",6-8 days
"New York, USA","[""Museums"", ""Food Tours""]",Low,"[""Urban"", ""Modern""]",4-6 days
"British Columbia, Canada","[""Wildlife Tours"", ""Skiing""]",Medium,"[""Urban"", ""Shopping""]",4-6 days
"Tuscany, Italy","[""Art Museums"", ""Historical Tours""]",Medium,"[""Cultural"", ""Food""]",4-6 days
"Bangkok, Thailand","[""Shopping"", ""Cultural Shows""]",Low,"[""Cultural"", ""Adventure""]",2-3 days
"Hawaii, USA","[""Snorkeling"", ""Surfing"", ""Volcano Tours""]",Low,"[""Adventure"", ""Beach""]",2-3 days
"California, USA","[""Beach"", ""Theme Parks"", ""Wine Tasting"", ""Surfing"", ""River Rafting""]",Medium,"[""Adventure"", ""Nature""]",10-14 days
"Queensland, Australia","[""Snorkeling"", ""Hiking"", ""Wildlife Tours"", ""Beach""]",Medium,"[""Nature"", ""Photography""]",10-14 days
"Hawaii, USA","[""Volcano Tours"", ""Surfing"", ""Snorkeling"", ""Beach"", ""Nightlife""]",Medium,"[""Urban"", ""Modern""]",10-14 days
"New York, USA","[""Museums"", ""Theater"", ""Food Tours"", ""Shopping"", ""Mountain Biking""]",High,"[""Urban"", ""Modern""]",8-10 days
"Bali, Indonesia","[""Cultural Tours"", ""Temple Visits""]",Medium,"[""Nature"", ""Photography""]",10-14 days
"Bavaria, Germany","[""Beer Tours"", ""Castle Tours"", ""Hiking"", ""Historical Tours"", ""Museums""]",Low,"[""Urban"", ""Modern""]",8-10 days
"California, USA","[""Beach"", ""Surfing"", ""Theme Parks"", ""Wine Tasting""]",Low,"[""Beach"", ""Relaxation""]",2-3 days
"California, USA","[""Beach"", ""Wine Tasting""]",High,"[""Urban"", ""Modern""]",4-6 days
"Tuscany, Italy","[""Art Museums"", ""Food Tours"", ""Wine Tasting"", ""Historical Tours""]",Low,"[""Cultural"", ""Adventure""]",4-6 days
"Bali, Indonesia","[""Cultural Tours"", ""Beach"", ""Surfing""]",Medium,"[""Nature"", ""Photography""]",4-6 days
"California, USA","[""Wine Tasting"", ""Beach"", ""Theme Parks"", ""Surfing"", ""Volcano Tours""]",High,"[""Urban"", ""Shopping""]",4-6 days
"British Columbia, Canada","[""Kayaking"", ""Wildlife Tours"", ""Hiking"", ""Skiing""]",Medium,"[""Adventure"", ""Sports""]",6-8 days
"Paris, France","[""Shopping"", ""Food Tours"", ""Museums"", ""Historical Tours"", ""Beach""]",Low,"[""Nature"", ""Relaxation""]",2-3 days
"British Columbia, Canada","[""Wildlife Tours"", ""Kayaking"", ""Skiing"", ""Hiking"", ""Cooking Classes""]",High,"[""Urban"", ""Shopping""]",2-3 days
"New York, USA","[""Theater"", ""Food Tours"", ""Shopping""]",Low,"[""Beach"", ""Relaxation""]",2-3 days
"Paris, France","[""Museums"", ""Shopping""]",Low,"[""Adventure"", ""Nature""]",6-8 days
"Hawaii, USA","[""Snorkeling"", ""Volcano Tours"", ""Beach"", ""Surfing"", ""Theater""]",High,"[""Adventure"", ""Sports""]",4-6 days
"Hawaii, USA","[""Snorkeling"", ""Beach""]",High,"[""Adventure"", ""Beach""]",8-10 days
"Tuscany, Italy","[""Food Tours"", ""Historical Tours"", ""Wine Tasting"", ""Art Museums"", ""Architecture Tours""]",Low,"[""Cultural"", ""Historical""]",2-3 days
"New York, USA","[""Theater"", ""Food Tours"", ""Museums""]",Low,"[""Cultural"", ""Adventure""]",2-3 days
"Wyoming, USA","[""Photography"", ""Hiking"", ""Wildlife Safari""]",Low,"[""Cultural"", ""Adventure""]",4-6 days
"Bali, Indonesia","[""Beach"", ""Temple Visits"", ""Cultural Tours"", ""Surfing""]",High,"[""Adventure"", ""Nature""]",2-3 days
"Dubai, UAE","[""Water Parks"", ""Desert Safari""]",High,"[""Cultural"", ""Historical""]",2-3 days
"Queensland, Australia","[""Beach"", ""Snorkeling"", ""Hiking"", ""Wildlife Tours"", ""Surfing""]",Medium,"[""Urban"", ""Shopping""]",8-10 days
"Bavaria, Germany","[""Hiking"", ""Beer Tours""]",Low,"[""Adventure"", ""Nature""]",8-10 days
"Wyoming, USA","[""Camping"", ""Wildlife Safari"", ""Photography"", ""Hiking""]",Medium,"[""Nature"", ""Relaxation""]",10-14 days
"Tokyo, Japan","[""Shopping"", ""Temple Visits""]",Medium,"[""Adventure"", ""Sports""]",6-8 days
"California, USA","[""Wine Tasting"", ""Surfing"", ""Beach"", ""Theme Parks"", ""Beer Tours""]",High,"[""Adventure"", ""Nature""]",2-3 days
"Paris, France","[""Historical Tours"", ""Shopping"", ""Food Tours"", ""Museums""]",Low,"[""Adventure"", ""Nature""]",2-3 days
"Wyoming, USA","[""Wildlife Safari"", ""Photography"", ""Camping"", ""Hiking"", ""Art Museums""]",Medium,"[""Adventure"", ""Sports""]",4-6 days
"Swiss Alps, Switzerland","[""Skiing"", ""Mountain Tours"", ""Hiking"", ""Photography"", ""Museums""]",Medium,"[""Nature"", ""Relaxation""]",6-8 days
"Tokyo, Japan","[""Cultural Shows"", ""Food Tours"", ""Temple Visits""]",High,"[""Historical"", ""Educational""]",10-14 days
"Dubai, UAE","[""Water Parks"", ""Shopping""]",Medium,"[""Beach"", ""Relaxation""]",6-8 days
"Dubai, UAE","[""Water Parks"", ""Architecture Tours"", ""Shopping""]",Low,"[""Nature"", ""Photography""]",2-3 days
"Paris, France","[""Shopping"", ""Historical Tours"", ""Museums"", ""Food Tours""]",Low,"[""Cultural"", ""Adventure""]",10-14 days
"Colorado, USA","[""Skiing"", ""Mountain Biking"", ""Hiking""]",High,"[""Beach"", ""Relaxation""]",6-8 days
"Bangkok, Thailand","[""Food Tours"", ""Shopping"", ""Cultural Shows"", ""Temple Visits"", ""Snorkeling""]",Low,"[""Cultural"", ""Adventure""]",8-10 days
"Bangkok, Thailand","[""Cultural Shows"", ""Temple Visits"", ""Shopping"", ""Food Tours"", ""River Rafting""]",High,"[""Adventure"", ""Nature""]",6-8 days
"Queensland, Australia","[""Snorkeling"", ""Beach"", ""Hiking"", ""Wildlife Tours"", ""Photography""]",Low,"[""Adventure"", ""Nature""]",8-10 days
"British Columbia, Canada","[""Hiking"", ""Skiing"", ""Wildlife Tours"", ""Kayaking"", ""Castle Tours""]",Low,"[""Beach"", ""Relaxation""]",4-6 days
"Colorado, USA","[""Mountain Biking"", ""Skiing"", ""Hiking"", ""Rock Climbing"", ""Spa & Wellness""]",Medium,"[""Beach"", ""Relaxation""]",8-10 days
"Paris, France","[""Historical Tours"", ""Museums"", ""Shopping"", ""Food Tours""]",Medium,"[""Beach"", ""Relaxation""]",10-14 days
"Bavaria, Germany","[""Beer Tours"", ""Hiking"", ""Historical Tours""]",Low,"[""Adventure"", ""Beach""]",10-14 days
"Hawaii, USA","[""Beach"", ""Surfing"", ""Volcano Tours"", ""Snorkeling"", ""Mountain Biking""]",Medium,"[""Historical"", ""Educational""]",6-8 days
"New York, USA","[""Museums"", ""Shopping""]",High,"[""Adventure"", ""Nature""]",4-6 days
"New York, USA","[""Shopping"", ""Theater"", ""Museums""]",Medium,"[""Cultural"", ""Food""]",4-6 days
"Tuscany, Italy","[""Food Tours"", ""Art Museums"", ""Historical Tours""]",Low,"[""Beach"", ""Relaxation""]",8-10 days
"Hawaii, USA","[""Snorkeling"", ""Beach"", ""Volcano Tours""]",Low,"[""Historical"", ""Educational""]",6-8 days
"Hawaii, USA","[""Volcano Tours"", ""Beach"", ""Surfing"", ""Snorkeling""]",Low,"[""Urban"", ""Modern""]",6-8 days
"Tuscany, Italy","[""Historical Tours"", ""Art Museums"", ""Food Tours"", ""Wine Tasting""]",Medium,"[""Nature"", ""Relaxation""]",2-3 days
"British Columbia, Canada","[""Kayaking"", ""Skiing"", ""Hiking""]",Low,"[""Cultural"", ""Food""]",10-14 days
"Colorado, USA","[""Mountain Biking"", ""Rock Climbing""]",Medium,"[""Beach"", ""Relaxation""]",6-8 days
"Bavaria, Germany","[""Historical Tours"", ""Hiking""]",High,"[""Urban"", ""Shopping""]",10-14 days
"Bangkok, Thailand","[""Cultural Shows"", ""Temple Visits"", ""Food Tours"", ""Shopping""]",Medium,"[""Adventure"", ""Nature""]",8-10 days
"Bangkok, Thailand","[""Shopping"", ""Food Tours"", ""Cultural Shows"", ""Temple Visits"", ""Snorkeling""]",High,"[""Cultural"", ""Adventure""]",2-3 days
"California, USA","[""Theme Parks"", ""Surfing"", ""Wine Tasting"", ""Beach"", ""Historical Tours""]",Low,"[""Cultural"", ""Food""]",10-14 days
"Colorado, USA","[""Mountain Biking"", ""Rock Climbing"", ""Skiing"", ""Hiking""]",Medium,"[""Adventure"", ""Beach""]",10-14 days
"Hawaii, USA","[""Surfing"", ""Beach"", ""Snorkeling"", ""Volcano Tours"", ""Wine Tasting""]",Medium,"[""Urban"", ""Shopping""]",4-6 days
"British Columbia, Canada","[""Kayaking"", ""Hiking""]",Low,"[""Urban"", ""Shopping""]",10-14 days
"Colorado, USA","[""Rock Climbing"", ""Skiing""]",Low,"[""Adventure"", ""Sports""]",10-14 days
"Wyoming, USA","[""Wildlife Safari"", ""Hiking"", ""Photography"", ""Camping""]",Low,"[""Adventure"", ""Nature""]",10-14 days
"Bangkok, Thailand","[""Temple Visits"", ""Food Tours"", ""Shopping""]",Low,"[""Beach"", ""Relaxation""]",8-10 days
"Paris, France","[""Shopping"", ""Historical Tours"", ""Museums"", ""Food Tours""]",High,"[""Urban"", ""Shopping""]",2-3 days
"Bangkok, Thailand","[""Shopping"", ""Cultural Shows"", ""Food Tours"", ""Temple Visits""]",High,"[""Cultural"", ""Food""]",4-6 days
"Tokyo, Japan","[""Food Tours"", ""Temple Visits""]",High,"[""Adventure"", ""Beach""]",2-3 days
"California, USA","[""Theme Parks"", ""Beach""]",Medium,"[""Cultural"", ""Adventure""]",8-10 days
"Paris, France","[""Museums"", ""Historical Tours""]",Low,"[""Adventure"", ""Sports""]",10-14 days
"Paris, France","[""Shopping"", ""Food Tours""]",Medium,"[""Cultural"", ""Food""]",6-8 days
"Paris, France","[""Historical Tours"", ""Museums"", ""Shopping""]",Low,"[""Historical"", ""Educational""]",10-14 days
"California, USA","[""Surfing"", ""Theme Parks"", ""Beach"", ""Wine Tasting"", ""Shopping""]",Medium,"[""Adventure"", ""Beach""]",8-10 days
"California, USA","[""Surfing"", ""Beach""]",Low,"[""Adventure"", ""Nature""]",2-3 days
"Hawaii, USA","[""Beach"", ""Snorkeling""]",Low,"[""Nature"", ""Relaxation""]",6-8 days
"New York, USA","[""Theater"", ""Shopping"", ""Food Tours""]",Low,"[""Nature"", ""Relaxation""]",4-6 days
"Queensland, Australia","[""Snorkeling"", ""Hiking"", ""Beach"", ""Wildlife Tours"", ""Spa & Wellness""]",Medium,"[""Historical"", ""Educational""]",10-14 days
"Wyoming, USA","[""Wildlife Safari"", ""Photography"", ""Hiking"", ""Camping""]",Medium,"[""Adventure"", ""Nature""]",4-6 days
